caseid,1,2,3,4,5
1137461,married,married,,married,married
1138226,married,married,,married,married
1140623,partnered,partnered,partnered,partnered,partnered
1144612,married,married,,,
1145473,partnered,partnered,partnered,partnered,partnered
1146742,partnered,partnered,partnered,partnered,partnered
1148571,married,married,married,married,married
1149591,married,married,married,married,married
1152556,partnered,partnered,partnered,partnered,married
1153741,married,married,married,married,married
1154421,married,married,married,married,married
1155496,partnered,partnered,partnered,married,married
1157671,married,married,,married,married
1160731,married,married,married,married,married
1162493,partnered,partnered,,,
1163761,married,married,married,married,married
1166341,married,married,married,married,married
1170601,married,married,married,married,married
1171561,married,married,,,
1173661,married,married,married,married,married
1177285,partnered,partnered,partnered,,
1179591,married,married,married,married,married
1180271,married,married,married,married,married
1181656,partnered,partnered,partnered,partnered,partnered
1183831,married,married,,married,married
1184501,married,married,married,married,married
1185644,married,married,married,married,married
1187235,partnered,partnered,partnered,married,married
1188821,married,married,married,married,married
1189486,partnered,partnered,partnered,partnered,partnered
1198411,married,married,married,married,married
1200626,married,married,married,married,married
1202681,married,married,,married,married
1203431,married,married,married,married,married
1204395,partnered,partnered,partnered,partnered,partnered
1206512,partnered,partnered,,,
1208205,partnered,partnered,,partnered,partnered
1209621,married,married,married,married,married
1210536,partnered,partnered,partnered,partnered,partnered
1213771,married,married,,married,married
1214546,partnered,partnered,married,married,married
1216365,partnered,partnered,partnered,partnered,partnered
1217341,married,married,married,married,married
1219921,married,married,married,married,married
1220631,married,married,,married,married
1222671,married,married,,married,married
1223621,married,married,married,married,married
1225585,partnered,partnered,,,
1226651,married,married,married,married,married
1228415,partnered,partnered,,,
1232501,married,married,married,married,married
1233501,married,married,married,married,married
1234331,married,married,married,married,married
1235316,partnered,partnered,,partnered,partnered
1240456,partnered,partnered,,partnered,partnered
1241521,married,married,married,married,married
1243681,married,married,married,married,married
1249671,married,married,married,married,married
1250456,partnered,partnered,,partnered,partnered
1252476,partnered,partnered,partnered,married,married
1253471,married,married,married,married,married
1255801,married,married,married,married,married
1257371,married,married,married,married,married
